ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
140.126.199.1,,TW,,None of your business,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T00:49:36Z
64.17.101.81,resurrection.mwmgc.com.,US,Bellows Falls,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:50:23Z
183.100.48.2,,KR,Seoul,dnsmasq-2.38,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T00:51:11Z
89.97.149.117,89-97-149-117.ip18.fastwebnet.it.,IT,Avezzano,,,false,1.00,2018-04-05T15:46:26Z,2015-01-06T00:51:13Z
168.187.234.58,,KW,Safat,dnsmasq-2.45,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T00:51:14Z
200.68.46.21,,CL,Santiago,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T00:52:44Z
184.71.197.190,,CA,Calgary,dnsmasq-2.76,,false,1.00,2018-04-05T15:46:26Z,2015-01-06T00:55:05Z
46.18.138.105,host-46-18-138-105.ip.bbanda.it.,IT,Santa Teresa di Riva,,,false,0.90,2018-04-05T15:46:27Z,2015-01-06T00:58:13Z
46.35.192.172,46-35-192-172.oroscom.hu.,HU,Oroshaza,,,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:59:24Z
184.71.101.186,mail.concreteteam.com.,CA,Kelowna,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:00:13Z
190.85.181.156,,CO,,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:01:14Z
95.142.224.142,,IR,,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:01:44Z
190.248.158.12,cable190-248-158-12.une.net.co.,CO,Mitú,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:02:37Z
211.222.74.190,,KR,Incheon,Unknown,,false,0.97,2018-04-05T15:46:28Z,2015-01-06T01:03:56Z
211.173.140.89,,KR,Suwon,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:03:57Z
74.80.201.3,ns3.ic2net.net.,US,Lake Forest,version information unavailable,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:05:16Z
46.10.157.81,46-10-157-81.ip.btc-net.bg.,BG,,,,false,0.59,2018-04-05T15:46:27Z,2015-01-06T01:05:38Z
190.13.181.213,,CL,Valdivia,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:06:50Z
136.145.57.21,nigua.ece.uprm.edu.,PR,Mayagüez,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:06:51Z
70.100.10.209,static-70-100-10-209.br1.blu.wv.frontiernet.net.,US,Hillsboro,dnsmasq-2.40,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:07:02Z
203.217.161.13,smtp01.mbits.com.au.,AU,Lyons,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:07:20Z
95.143.133.253,mail.brozik.org.,CZ,Litoměřice,,,false,0.97,2018-04-05T15:46:27Z,2015-01-06T01:07:53Z
194.212.79.87,,CZ,,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:09:11Z
183.179.199.54,183179199054.ctinets.com.,HK,Central,dnsmasq-2.40,,true,0.97,2018-04-05T15:46:28Z,2015-01-06T01:11:02Z
190.56.135.221,221.135.56.190.static.intelnet.net.gt.,GT,,dnsmasq-2.52,,false,1.00,2018-04-05T15:46:28Z,2015-01-06T01:11:11Z
60.32.184.210,svmailproxy.chuo-koki.co.jp.,JP,Kyoto,,,false,1.00,2018-04-05T15:46:30Z,2015-01-06T01:11:31Z
50.78.68.178,50-78-68-178-static.hfc.comcastbusiness.net.,US,,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2018-04-05T15:46:28Z,2015-01-06T01:12:21Z
119.245.135.41,,JP,Sagamihara,,,false,1.00,2018-04-05T15:46:29Z,2015-01-06T01:13:07Z
193.54.211.65,antares.c-strasbourg.fr.,FR,,,,false,1.00,2018-04-05T15:46:28Z,2015-01-06T01:13:27Z
81.219.50.52,,PL,Nakło nad Notecią,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T01:16:00Z
